date,host,type_instance,value
2022-02-20 17:28:00+00:00,10.95.161.206,slab_unrecl,787612330.6666666
2022-02-20 17:28:00+00:00,10.95.161.206,used,2373381461.3333335
2022-02-20 17:28:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:28:00+00:00,10.95.161.207,cached,26643234816.0
2022-02-20 17:28:00+00:00,10.95.161.207,free,163082487808.0
2022-02-20 17:28:00+00:00,10.95.161.207,slab_recl,4291762176.0
2022-02-20 17:28:00+00:00,10.95.161.207,slab_unrecl,1435591338.6666667
2022-02-20 17:28:00+00:00,10.95.161.207,used,5477293397.333333
2022-02-20 17:28:00+00:00,10.95.161.208,buffered,1220250828.8
2022-02-20 17:28:00+00:00,10.95.161.208,cached,180524779929.6
2022-02-20 17:28:00+00:00,10.95.161.208,free,1371123712.0
2022-02-20 17:28:00+00:00,10.95.161.208,slab_recl,4656320512.0
2022-02-20 17:28:00+00:00,10.95.161.208,slab_unrecl,487641088.0
2022-02-20 17:28:00+00:00,10.95.161.208,used,14475782553.6
2022-02-20 17:28:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:28:00+00:00,10.95.161.209,cached,14046124032.0
2022-02-20 17:28:00+00:00,10.95.161.209,free,177998351701.33334
2022-02-20 17:28:00+00:00,10.95.161.209,slab_recl,3365314560.0
2022-02-20 17:28:00+00:00,10.95.161.209,slab_unrecl,1344152917.3333333
2022-02-20 17:28:00+00:00,10.95.161.209,used,4306322773.333333
2022-02-20 17:29:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:29:00+00:00,10.95.161.205,cached,40258335402.666664
2022-02-20 17:29:00+00:00,10.95.161.205,free,151280928768.0
2022-02-20 17:29:00+00:00,10.95.161.205,slab_recl,3672883200.0
2022-02-20 17:29:00+00:00,10.95.161.205,slab_unrecl,971201194.6666666
2022-02-20 17:29:00+00:00,10.95.161.205,used,4303227562.666667
2022-02-20 17:29:00+00:00,10.95.161.206,buffered,1134693717.3333333
2022-02-20 17:29:00+00:00,10.95.161.206,cached,9336179370.666666
2022-02-20 17:29:00+00:00,10.95.161.206,free,188222939136.0
2022-02-20 17:29:00+00:00,10.95.161.206,slab_recl,880689152.0
2022-02-20 17:29:00+00:00,10.95.161.206,slab_unrecl,787838293.3333334
2022-02-20 17:29:00+00:00,10.95.161.206,used,2373558954.6666665
2022-02-20 17:29:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:29:00+00:00,10.95.161.207,cached,26643605504.0
2022-02-20 17:29:00+00:00,10.95.161.207,free,163091189077.33334
2022-02-20 17:29:00+00:00,10.95.161.207,slab_recl,4291836586.6666665
2022-02-20 17:29:00+00:00,10.95.161.207,slab_unrecl,1436181845.3333333
2022-02-20 17:29:00+00:00,10.95.161.207,used,5467556522.666667
2022-02-20 17:29:00+00:00,10.95.161.208,buffered,1220269397.3333333
2022-02-20 17:29:00+00:00,10.95.161.208,cached,180524785664.0
2022-02-20 17:29:00+00:00,10.95.161.208,free,1371059541.3333333
2022-02-20 17:29:00+00:00,10.95.161.208,slab_recl,4656320512.0
2022-02-20 17:29:00+00:00,10.95.161.208,slab_unrecl,486778880.0
2022-02-20 17:29:00+00:00,10.95.161.208,used,14476684629.333334
2022-02-20 17:29:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:29:00+00:00,10.95.161.209,cached,14046072832.0
2022-02-20 17:29:00+00:00,10.95.161.209,free,177997567317.33334
2022-02-20 17:29:00+00:00,10.95.161.209,slab_recl,3365330944.0
2022-02-20 17:29:00+00:00,10.95.161.209,slab_unrecl,1343817045.3333333
2022-02-20 17:29:00+00:00,10.95.161.209,used,4307477845.333333
2022-02-20 17:30:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:30:00+00:00,10.95.161.205,cached,40190388906.666664
2022-02-20 17:30:00+00:00,10.95.161.205,free,151349245269.33334
2022-02-20 17:30:00+00:00,10.95.161.205,slab_recl,3672915285.3333335
2022-02-20 17:30:00+00:00,10.95.161.205,slab_unrecl,971294037.3333334
2022-02-20 17:30:00+00:00,10.95.161.205,used,4302732629.333333
2022-02-20 17:30:00+00:00,10.95.161.206,buffered,1134702592.0
2022-02-20 17:30:00+00:00,10.95.161.206,cached,9335925418.666666
2022-02-20 17:30:00+00:00,10.95.161.206,free,188221440682.66666
2022-02-20 17:30:00+00:00,10.95.161.206,slab_recl,880692565.3333334
2022-02-20 17:30:00+00:00,10.95.161.206,slab_unrecl,787306496.0
2022-02-20 17:30:00+00:00,10.95.161.206,used,2375830869.3333335
2022-02-20 17:30:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:30:00+00:00,10.95.161.207,cached,26644000085.333332
2022-02-20 17:30:00+00:00,10.95.161.207,free,163067450026.66666
2022-02-20 17:30:00+00:00,10.95.161.207,slab_recl,4291614720.0
2022-02-20 17:30:00+00:00,10.95.161.207,slab_unrecl,1436486314.6666667
2022-02-20 17:30:00+00:00,10.95.161.207,used,5490818389.333333
2022-02-20 17:30:00+00:00,10.95.161.208,buffered,1220287146.6666667
2022-02-20 17:30:00+00:00,10.95.161.208,cached,180524786346.66666
2022-02-20 17:30:00+00:00,10.95.161.208,free,1367240021.3333333
2022-02-20 17:30:00+00:00,10.95.161.208,slab_recl,4656320512.0
2022-02-20 17:30:00+00:00,10.95.161.208,slab_unrecl,487461546.6666667
2022-02-20 17:30:00+00:00,10.95.161.208,used,14479803050.666666
2022-02-20 17:30:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:30:00+00:00,10.95.161.209,cached,14046027093.333334
2022-02-20 17:30:00+00:00,10.95.161.209,free,178000596309.33334
2022-02-20 17:30:00+00:00,10.95.161.209,slab_recl,3365175296.0
2022-02-20 17:30:00+00:00,10.95.161.209,slab_unrecl,1343186261.3333333
2022-02-20 17:30:00+00:00,10.95.161.209,used,4305281024.0
2022-02-20 17:31:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:31:00+00:00,10.95.161.205,cached,40157475498.666664
2022-02-20 17:31:00+00:00,10.95.161.205,free,151380527786.66666
2022-02-20 17:31:00+00:00,10.95.161.205,slab_recl,3672933717.3333335
2022-02-20 17:31:00+00:00,10.95.161.205,slab_unrecl,971333632.0
2022-02-20 17:31:00+00:00,10.95.161.205,used,4304305493.333333
2022-02-20 17:31:00+00:00,10.95.161.206,buffered,1134711466.6666667
2022-02-20 17:31:00+00:00,10.95.161.206,cached,9336203946.666666
2022-02-20 17:31:00+00:00,10.95.161.206,free,188224679253.33334
2022-02-20 17:31:00+00:00,10.95.161.206,slab_recl,880698709.3333334
2022-02-20 17:31:00+00:00,10.95.161.206,slab_unrecl,787397290.6666666
2022-02-20 17:31:00+00:00,10.95.161.206,used,2372207957.3333335
2022-02-20 17:31:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 17:31:00+00:00,10.95.161.207,cached,26644477952.0
2022-02-20 17:31:00+00:00,10.95.161.207,free,163113439232.0
2022-02-20 17:31:00+00:00,10.95.161.207,slab_recl,4291103402.6666665
2022-02-20 17:31:00+00:00,10.95.161.207,slab_unrecl,1436524544.0
2022-02-20 17:31:00+00:00,10.95.161.207,used,5444824405.333333
2022-02-20 17:31:00+00:00,10.95.161.208,buffered,1220312405.3333333
2022-02-20 17:31:00+00:00,10.95.161.208,cached,180524794538.66666
2022-02-20 17:31:00+00:00,10.95.161.208,free,1369156266.6666667
2022-02-20 17:31:00+00:00,10.95.161.208,slab_recl,4656320512.0
2022-02-20 17:31:00+00:00,10.95.161.208,slab_unrecl,487133866.6666667
2022-02-20 17:31:00+00:00,10.95.161.208,used,14478181034.666666
2022-02-20 17:31:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 17:31:00+00:00,10.95.161.209,cached,14046048256.0
2022-02-20 17:31:00+00:00,10.95.161.209,free,177998905344.0
2022-02-20 17:31:00+00:00,10.95.161.209,slab_recl,3365019648.0
2022-02-20 17:31:00+00:00,10.95.161.209,slab_unrecl,1342737066.6666667
2022-02-20 17:31:00+00:00,10.95.161.209,used,4307555669.333333
2022-02-20 17:32:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 17:32:00+00:00,10.95.161.205,cached,40159607466.666664
2022-02-20 17:32:00+00:00,10.95.161.205,free,151381202944.0
2022-02-20 17:32:00+00:00,10.95.161.205,slab_recl,3672940544.0
